topic_id,top_terms
0,"beautiful, wow, china, trump, country, world, nice, ai, like, kesana"
1,"đi, amazing, tour, looks, real, có, name, mình, đẹp, là"
2,"china, city, beautiful, go, guangzhou, night, part, think, place, shenzhen"
3,"china, wish, video, could, book, list, culture, chongqing, even, one"
4,"go, get, china, want, time, back, really, work, place, days"
5,"china, shanghai, much, great, thank, good, better, beijing, cost, still"
6,"china, love, visit, like, need, want, would, go, miss, people"
7,"one, day, next, china, dream, looks, hotel, long, like, bay"
